date,home_team,away_team,country
1930-07-13,Belgium,United States,Uruguay
1930-07-13,France,Mexico,Uruguay
1930-07-14,Brazil,Yugoslavia,Uruguay
1930-07-14,Peru,Romania,Uruguay
1930-07-15,Argentina,France,Uruguay
1930-07-16,Chile,Mexico,Uruguay
1930-07-17,Bolivia,Yugoslavia,Uruguay
1930-07-17,Paraguay,United States,Uruguay
1930-07-18,Uruguay,Peru,Uruguay
1930-07-19,Argentina,Mexico,Uruguay
1930-07-19,Chile,France,Uruguay
1930-07-20,Belgium,Paraguay,Uruguay
1930-07-20,Bolivia,Brazil,Uruguay
1930-07-21,Uruguay,Romania,Uruguay
1930-07-22,Argentina,Chile,Uruguay
1930-07-26,Argentina,United States,Uruguay
1930-07-27,Uruguay,Yugoslavia,Uruguay
1930-07-30,Uruguay,Argentina,Uruguay
1934-05-27,Argentina,Sweden,Italy
1934-05-27,Austria,France,Italy
1934-05-27,Belgium,Germany,Italy
1934-05-27,Brazil,Spain,Italy
1934-05-27,Czechoslovakia,Romania,Italy
1934-05-27,Egypt,Hungary,Italy
1934-05-27,Italy,United States,Italy
1934-05-27,Netherlands,Switzerland,Italy
1934-05-31,Austria,Hungary,Italy
1934-05-31,Czechoslovakia,Switzerland,Italy
1934-05-31,Germany,Sweden,Italy
1934-05-31,Italy,Spain,Italy
1934-06-01,Italy,Spain,Italy
1934-06-03,Czechoslovakia,Germany,Italy
1934-06-03,Italy,Austria,Italy
1934-06-07,Austria,Germany,Italy
1934-06-10,Italy,Czechoslovakia,Italy
1938-06-04,Germany,Switzerland,France
1938-06-05,Brazil,Poland,France
1938-06-05,Cuba,Romania,France
1938-06-05,Czechoslovakia,Netherlands,France
1938-06-05,France,Belgium,France
1938-06-05,Hungary,Indonesia,France
1938-06-05,Italy,Norway,France
1938-06-09,Cuba,Romania,France
1938-06-09,Germany,Switzerland,France
1938-06-12,Brazil,Czechoslovakia,France
1938-06-12,Cuba,Sweden,France
1938-06-12,France,Italy,France
1938-06-12,Hungary,Switzerland,France
1938-06-14,Brazil,Czechoslovakia,France
1938-06-16,Brazil,Italy,France
1938-06-16,Hungary,Sweden,France
1938-06-19,Brazil,Sweden,France
1938-06-19,Hungary,Italy,France
1950-06-24,Brazil,Mexico,Brazil
1950-06-25,Chile,England,Brazil
1950-06-25,Italy,Sweden,Brazil
1950-06-25,Spain,United States,Brazil
1950-06-25,Switzerland,Yugoslavia,Brazil
1950-06-28,Brazil,Switzerland,Brazil
1950-06-28,Mexico,Yugoslavia,Brazil
1950-06-29,Chile,Spain,Brazil
1950-06-29,England,United States,Brazil
1950-06-29,Paraguay,Sweden,Brazil
1950-07-01,Brazil,Yugoslavia,Brazil
1950-07-02,Bolivia,Uruguay,Brazil
1950-07-02,Chile,United States,Brazil
1950-07-02,England,Spain,Brazil
1950-07-02,Italy,Paraguay,Brazil
1950-07-02,Mexico,Switzerland,Brazil
1950-07-09,Brazil,Sweden,Brazil
1950-07-09,Spain,Uruguay,Brazil
1950-07-13,Brazil,Spain,Brazil
1950-07-13,Sweden,Uruguay,Brazil
1950-07-16,Brazil,Uruguay,Brazil
1950-07-16,Spain,Sweden,Brazil
1954-06-16,Austria,Scotland,Switzerland
1954-06-16,Brazil,Mexico,Switzerland
1954-06-16,Czechoslovakia,Uruguay,Switzerland
1954-06-16,France,Yugoslavia,Switzerland
1954-06-17,Belgium,England,Switzerland
1954-06-17,Germany,Turkey,Switzerland
1954-06-17,Hungary,South Korea,Switzerland
1954-06-17,Switzerland,Italy,Switzerland
1954-06-19,Austria,Czechoslovakia,Switzerland
1954-06-19,Brazil,Yugoslavia,Switzerland
1954-06-19,France,Mexico,Switzerland
1954-06-19,Scotland,Uruguay,Switzerland
1954-06-20,Belgium,Italy,Switzerland
1954-06-20,Germany,Hungary,Switzerland
1954-06-20,South Korea,Turkey,Switzerland
1954-06-20,Switzerland,England,Switzerland
1954-06-23,Germany,Turkey,Switzerland
1954-06-23,Switzerland,Italy,Switzerland
1954-06-26,England,Uruguay,Switzerland
1954-06-26,Switzerland,Austria,Switzerland
1954-06-27,Brazil,Hungary,Switzerland
1954-06-27,Germany,Yugoslavia,Switzerland
1954-06-30,Austria,Germany,Switzerland
1954-06-30,Hungary,Uruguay,Switzerland
1954-07-03,Austria,Uruguay,Switzerland
1954-07-04,Germany,Hungary,Switzerland
1958-06-08,Argentina,Germany,Sweden
1958-06-08,Austria,Brazil,Sweden
1958-06-08,Czechoslovakia,Northern Ireland,Sweden
1958-06-08,England,Russia,Sweden
1958-06-08,France,Paraguay,Sweden
1958-06-08,Hungary,Wales,Sweden
1958-06-08,Scotland,Yugoslavia,Sweden
1958-06-08,Sweden,Mexico,Sweden
1958-06-11,Argentina,Northern Ireland,Sweden
1958-06-11,Austria,Russia,Sweden
1958-06-11,Brazil,England,Sweden
1958-06-11,Czechoslovakia,Germany,Sweden
1958-06-11,France,Yugoslavia,Sweden
1958-06-11,Mexico,Wales,Sweden
1958-06-11,Paraguay,Scotland,Sweden
1958-06-12,Sweden,Hungary,Sweden
1958-06-15,Argentina,Czechoslovakia,Sweden
1958-06-15,Austria,England,Sweden
1958-06-15,Brazil,Russia,Sweden
1958-06-15,France,Scotland,Sweden
1958-06-15,Germany,Northern Ireland,Sweden
1958-06-15,Hungary,Mexico,Sweden
1958-06-15,Paraguay,Yugoslavia,Sweden
1958-06-15,Sweden,Wales,Sweden
